pid,z_start,z_end,path
094,31,56,/home/htang6/workspace/data/abdomen/preprocessed/094_Gallbladder.nrrd
PA006,73,81,/home/htang6/workspace/data/abdomen/preprocessed/PA006_Gallbladder.nrrd
PA007,72,81,/home/htang6/workspace/data/abdomen/preprocessed/PA007_Gallbladder.nrrd
124,55,75,/home/htang6/workspace/data/abdomen/preprocessed/124_Gallbladder.nrrd
121,43,60,/home/htang6/workspace/data/abdomen/preprocessed/121_Gallbladder.nrrd
PA008,20,23,/home/htang6/workspace/data/abdomen/preprocessed/PA008_Gallbladder.nrrd
018,67,78,/home/htang6/workspace/data/abdomen/preprocessed/018_Gallbladder.nrrd
123,56,67,/home/htang6/workspace/data/abdomen/preprocessed/123_Gallbladder.nrrd
051,103,113,/home/htang6/workspace/data/abdomen/preprocessed/051_Gallbladder.nrrd
PA023,56,64,/home/htang6/workspace/data/abdomen/preprocessed/PA023_Gallbladder.nrrd
054,137,152,/home/htang6/workspace/data/abdomen/preprocessed/054_Gallbladder.nrrd
103,48,57,/home/htang6/workspace/data/abdomen/preprocessed/103_Gallbladder.nrrd
038,39,59,/home/htang6/workspace/data/abdomen/preprocessed/038_Gallbladder.nrrd
141,66,76,/home/htang6/workspace/data/abdomen/preprocessed/141_Gallbladder.nrrd
062,20,25,/home/htang6/workspace/data/abdomen/preprocessed/062_Gallbladder.nrrd
147,62,81,/home/htang6/workspace/data/abdomen/preprocessed/147_Gallbladder.nrrd
134,183,201,/home/htang6/workspace/data/abdomen/preprocessed/134_Gallbladder.nrrd
025,62,64,/home/htang6/workspace/data/abdomen/preprocessed/025_Gallbladder.nrrd
052,160,168,/home/htang6/workspace/data/abdomen/preprocessed/052_Gallbladder.nrrd
063,136,150,/home/htang6/workspace/data/abdomen/preprocessed/063_Gallbladder.nrrd
031,158,178,/home/htang6/workspace/data/abdomen/preprocessed/031_Gallbladder.nrrd
060,151,163,/home/htang6/workspace/data/abdomen/preprocessed/060_Gallbladder.nrrd
110,147,157,/home/htang6/workspace/data/abdomen/preprocessed/110_Gallbladder.nrrd
022,59,70,/home/htang6/workspace/data/abdomen/preprocessed/022_Gallbladder.nrrd
089,160,168,/home/htang6/workspace/data/abdomen/preprocessed/089_Gallbladder.nrrd
PA018,51,64,/home/htang6/workspace/data/abdomen/preprocessed/PA018_Gallbladder.nrrd
101,170,180,/home/htang6/workspace/data/abdomen/preprocessed/101_Gallbladder.nrrd
033,54,65,/home/htang6/workspace/data/abdomen/preprocessed/033_Gallbladder.nrrd
122,82,110,/home/htang6/workspace/data/abdomen/preprocessed/122_Gallbladder.nrrd
PA014,45,57,/home/htang6/workspace/data/abdomen/preprocessed/PA014_Gallbladder.nrrd
138,40,68,/home/htang6/workspace/data/abdomen/preprocessed/138_Gallbladder.nrrd
043,70,75,/home/htang6/workspace/data/abdomen/preprocessed/043_Gallbladder.nrrd
049,159,171,/home/htang6/workspace/data/abdomen/preprocessed/049_Gallbladder.nrrd
035,46,53,/home/htang6/workspace/data/abdomen/preprocessed/035_Gallbladder.nrrd
105,151,159,/home/htang6/workspace/data/abdomen/preprocessed/105_Gallbladder.nrrd
097,53,69,/home/htang6/workspace/data/abdomen/preprocessed/097_Gallbladder.nrrd
PA022,99,105,/home/htang6/workspace/data/abdomen/preprocessed/PA022_Gallbladder.nrrd
