pid,z_start,z_end,path
PA057,33,63,/home/htang6/workspace/data/abdomen/preprocessed/PA057_Pancreas.nrrd
PA054,55,81,/home/htang6/workspace/data/abdomen/preprocessed/PA054_Pancreas.nrrd
PA050,38,69,/home/htang6/workspace/data/abdomen/preprocessed/PA050_Pancreas.nrrd
103,24,61,/home/htang6/workspace/data/abdomen/preprocessed/103_Pancreas.nrrd
142,65,81,/home/htang6/workspace/data/abdomen/preprocessed/142_Pancreas.nrrd
PA052,25,58,/home/htang6/workspace/data/abdomen/preprocessed/PA052_Pancreas.nrrd
125,35,69,/home/htang6/workspace/data/abdomen/preprocessed/125_Pancreas.nrrd
PA004,91,121,/home/htang6/workspace/data/abdomen/preprocessed/PA004_Pancreas.nrrd
148,118,143,/home/htang6/workspace/data/abdomen/preprocessed/148_Pancreas.nrrd
PA046,47,80,/home/htang6/workspace/data/abdomen/preprocessed/PA046_Pancreas.nrrd
015,46,73,/home/htang6/workspace/data/abdomen/preprocessed/015_Pancreas.nrrd
PA051,70,92,/home/htang6/workspace/data/abdomen/preprocessed/PA051_Pancreas.nrrd
001,119,148,/home/htang6/workspace/data/abdomen/preprocessed/001_Pancreas.nrrd
145,73,106,/home/htang6/workspace/data/abdomen/preprocessed/145_Pancreas.nrrd
030,36,67,/home/htang6/workspace/data/abdomen/preprocessed/030_Pancreas.nrrd
133,38,68,/home/htang6/workspace/data/abdomen/preprocessed/133_Pancreas.nrrd
PA002,66,102,/home/htang6/workspace/data/abdomen/preprocessed/PA002_Pancreas.nrrd
138,40,68,/home/htang6/workspace/data/abdomen/preprocessed/138_Pancreas.nrrd
058,19,70,/home/htang6/workspace/data/abdomen/preprocessed/058_Pancreas.nrrd
018,50,77,/home/htang6/workspace/data/abdomen/preprocessed/018_Pancreas.nrrd
PA040,77,87,/home/htang6/workspace/data/abdomen/preprocessed/PA040_Pancreas.nrrd
PA037,145,171,/home/htang6/workspace/data/abdomen/preprocessed/PA037_Pancreas.nrrd
PA003,52,68,/home/htang6/workspace/data/abdomen/preprocessed/PA003_Pancreas.nrrd
PA042,21,48,/home/htang6/workspace/data/abdomen/preprocessed/PA042_Pancreas.nrrd
147,44,90,/home/htang6/workspace/data/abdomen/preprocessed/147_Pancreas.nrrd
PA038,58,85,/home/htang6/workspace/data/abdomen/preprocessed/PA038_Pancreas.nrrd
049,142,166,/home/htang6/workspace/data/abdomen/preprocessed/049_Pancreas.nrrd
146,14,53,/home/htang6/workspace/data/abdomen/preprocessed/146_Pancreas.nrrd
011,14,42,/home/htang6/workspace/data/abdomen/preprocessed/011_Pancreas.nrrd
PA039,31,62,/home/htang6/workspace/data/abdomen/preprocessed/PA039_Pancreas.nrrd
PA011,34,59,/home/htang6/workspace/data/abdomen/preprocessed/PA011_Pancreas.nrrd
025,32,64,/home/htang6/workspace/data/abdomen/preprocessed/025_Pancreas.nrrd
134,162,199,/home/htang6/workspace/data/abdomen/preprocessed/134_Pancreas.nrrd
PA048,63,93,/home/htang6/workspace/data/abdomen/preprocessed/PA048_Pancreas.nrrd
PA053,40,82,/home/htang6/workspace/data/abdomen/preprocessed/PA053_Pancreas.nrrd
PA010,39,67,/home/htang6/workspace/data/abdomen/preprocessed/PA010_Pancreas.nrrd
123,31,67,/home/htang6/workspace/data/abdomen/preprocessed/123_Pancreas.nrrd
120,23,47,/home/htang6/workspace/data/abdomen/preprocessed/120_Pancreas.nrrd
PA005,33,52,/home/htang6/workspace/data/abdomen/preprocessed/PA005_Pancreas.nrrd
PA031,19,47,/home/htang6/workspace/data/abdomen/preprocessed/PA031_Pancreas.nrrd
150,136,169,/home/htang6/workspace/data/abdomen/preprocessed/150_Pancreas.nrrd
114,136,170,/home/htang6/workspace/data/abdomen/preprocessed/114_Pancreas.nrrd
089,140,167,/home/htang6/workspace/data/abdomen/preprocessed/089_Pancreas.nrrd
118,117,160,/home/htang6/workspace/data/abdomen/preprocessed/118_Pancreas.nrrd
PA019,80,105,/home/htang6/workspace/data/abdomen/preprocessed/PA019_Pancreas.nrrd
PA026,16,48,/home/htang6/workspace/data/abdomen/preprocessed/PA026_Pancreas.nrrd
028,15,53,/home/htang6/workspace/data/abdomen/preprocessed/028_Pancreas.nrrd
106,126,162,/home/htang6/workspace/data/abdomen/preprocessed/106_Pancreas.nrrd
052,139,168,/home/htang6/workspace/data/abdomen/preprocessed/052_Pancreas.nrrd
042,51,90,/home/htang6/workspace/data/abdomen/preprocessed/042_Pancreas.nrrd
061,76,101,/home/htang6/workspace/data/abdomen/preprocessed/061_Pancreas.nrrd
037,117,147,/home/htang6/workspace/data/abdomen/preprocessed/037_Pancreas.nrrd
086,70,98,/home/htang6/workspace/data/abdomen/preprocessed/086_Pancreas.nrrd
PA006,61,83,/home/htang6/workspace/data/abdomen/preprocessed/PA006_Pancreas.nrrd
PA027,43,66,/home/htang6/workspace/data/abdomen/preprocessed/PA027_Pancreas.nrrd
PA041,24,46,/home/htang6/workspace/data/abdomen/preprocessed/PA041_Pancreas.nrrd
063,132,164,/home/htang6/workspace/data/abdomen/preprocessed/063_Pancreas.nrrd
PA018,39,60,/home/htang6/workspace/data/abdomen/preprocessed/PA018_Pancreas.nrrd
PA044,54,87,/home/htang6/workspace/data/abdomen/preprocessed/PA044_Pancreas.nrrd
139,124,157,/home/htang6/workspace/data/abdomen/preprocessed/139_Pancreas.nrrd
099,26,61,/home/htang6/workspace/data/abdomen/preprocessed/099_Pancreas.nrrd
007,168,195,/home/htang6/workspace/data/abdomen/preprocessed/007_Pancreas.nrrd
140,137,177,/home/htang6/workspace/data/abdomen/preprocessed/140_Pancreas.nrrd
117,147,183,/home/htang6/workspace/data/abdomen/preprocessed/117_Pancreas.nrrd
023,118,148,/home/htang6/workspace/data/abdomen/preprocessed/023_Pancreas.nrrd
PA036,121,149,/home/htang6/workspace/data/abdomen/preprocessed/PA036_Pancreas.nrrd
087,43,78,/home/htang6/workspace/data/abdomen/preprocessed/087_Pancreas.nrrd
062,20,45,/home/htang6/workspace/data/abdomen/preprocessed/062_Pancreas.nrrd
029,35,65,/home/htang6/workspace/data/abdomen/preprocessed/029_Pancreas.nrrd
126,122,159,/home/htang6/workspace/data/abdomen/preprocessed/126_Pancreas.nrrd
093,42,71,/home/htang6/workspace/data/abdomen/preprocessed/093_Pancreas.nrrd
102,20,63,/home/htang6/workspace/data/abdomen/preprocessed/102_Pancreas.nrrd
006,93,123,/home/htang6/workspace/data/abdomen/preprocessed/006_Pancreas.nrrd
121,36,70,/home/htang6/workspace/data/abdomen/preprocessed/121_Pancreas.nrrd
044,34,62,/home/htang6/workspace/data/abdomen/preprocessed/044_Pancreas.nrrd
PA030,51,74,/home/htang6/workspace/data/abdomen/preprocessed/PA030_Pancreas.nrrd
020,162,191,/home/htang6/workspace/data/abdomen/preprocessed/020_Pancreas.nrrd
132,153,184,/home/htang6/workspace/data/abdomen/preprocessed/132_Pancreas.nrrd
137,46,72,/home/htang6/workspace/data/abdomen/preprocessed/137_Pancreas.nrrd
PA012,22,51,/home/htang6/workspace/data/abdomen/preprocessed/PA012_Pancreas.nrrd
056,27,53,/home/htang6/workspace/data/abdomen/preprocessed/056_Pancreas.nrrd
PA009,89,122,/home/htang6/workspace/data/abdomen/preprocessed/PA009_Pancreas.nrrd
141,50,78,/home/htang6/workspace/data/abdomen/preprocessed/141_Pancreas.nrrd
055,128,164,/home/htang6/workspace/data/abdomen/preprocessed/055_Pancreas.nrrd
092,139,175,/home/htang6/workspace/data/abdomen/preprocessed/092_Pancreas.nrrd
PA028,38,78,/home/htang6/workspace/data/abdomen/preprocessed/PA028_Pancreas.nrrd
131,24,61,/home/htang6/workspace/data/abdomen/preprocessed/131_Pancreas.nrrd
090,72,102,/home/htang6/workspace/data/abdomen/preprocessed/090_Pancreas.nrrd
033,38,72,/home/htang6/workspace/data/abdomen/preprocessed/033_Pancreas.nrrd
057,137,168,/home/htang6/workspace/data/abdomen/preprocessed/057_Pancreas.nrrd
PA043,33,72,/home/htang6/workspace/data/abdomen/preprocessed/PA043_Pancreas.nrrd
127,136,169,/home/htang6/workspace/data/abdomen/preprocessed/127_Pancreas.nrrd
PA056,52,89,/home/htang6/workspace/data/abdomen/preprocessed/PA056_Pancreas.nrrd
PA033,11,27,/home/htang6/workspace/data/abdomen/preprocessed/PA033_Pancreas.nrrd
108,137,157,/home/htang6/workspace/data/abdomen/preprocessed/108_Pancreas.nrrd
019,68,98,/home/htang6/workspace/data/abdomen/preprocessed/019_Pancreas.nrrd
040,129,158,/home/htang6/workspace/data/abdomen/preprocessed/040_Pancreas.nrrd
