pid,z_start,z_end,path
PA055,0,126,/home/htang6/workspace/data/abdomen/preprocessed/PA055_Spinal Cord.nrrd
PA057,0,127,/home/htang6/workspace/data/abdomen/preprocessed/PA057_Spinal Cord.nrrd
130,100,211,/home/htang6/workspace/data/abdomen/preprocessed/130_Spinal Cord.nrrd
102,0,125,/home/htang6/workspace/data/abdomen/preprocessed/102_Spinal Cord.nrrd
PA038,10,238,/home/htang6/workspace/data/abdomen/preprocessed/PA038_Spinal Cord.nrrd
129,85,218,/home/htang6/workspace/data/abdomen/preprocessed/129_Spinal Cord.nrrd
PA032,0,107,/home/htang6/workspace/data/abdomen/preprocessed/PA032_Spinal Cord.nrrd
128,72,203,/home/htang6/workspace/data/abdomen/preprocessed/128_Spinal Cord.nrrd
145,22,170,/home/htang6/workspace/data/abdomen/preprocessed/145_Spinal Cord.nrrd
PA044,27,124,/home/htang6/workspace/data/abdomen/preprocessed/PA044_Spinal Cord.nrrd
100,36,168,/home/htang6/workspace/data/abdomen/preprocessed/100_Spinal Cord.nrrd
135,80,200,/home/htang6/workspace/data/abdomen/preprocessed/135_Spinal Cord.nrrd
PA036,71,249,/home/htang6/workspace/data/abdomen/preprocessed/PA036_Spinal Cord.nrrd
123,0,131,/home/htang6/workspace/data/abdomen/preprocessed/123_Spinal Cord.nrrd
104,91,220,/home/htang6/workspace/data/abdomen/preprocessed/104_Spinal Cord.nrrd
093,0,134,/home/htang6/workspace/data/abdomen/preprocessed/093_Spinal Cord.nrrd
101,97,222,/home/htang6/workspace/data/abdomen/preprocessed/101_Spinal Cord.nrrd
109,90,184,/home/htang6/workspace/data/abdomen/preprocessed/109_Spinal Cord.nrrd
PA034,0,136,/home/htang6/workspace/data/abdomen/preprocessed/PA034_Spinal Cord.nrrd
084,0,128,/home/htang6/workspace/data/abdomen/preprocessed/084_Spinal Cord.nrrd
120,0,116,/home/htang6/workspace/data/abdomen/preprocessed/120_Spinal Cord.nrrd
PA023,0,129,/home/htang6/workspace/data/abdomen/preprocessed/PA023_Spinal Cord.nrrd
PA019,26,172,/home/htang6/workspace/data/abdomen/preprocessed/PA019_Spinal Cord.nrrd
PA011,0,129,/home/htang6/workspace/data/abdomen/preprocessed/PA011_Spinal Cord.nrrd
096,7,145,/home/htang6/workspace/data/abdomen/preprocessed/096_Spinal Cord.nrrd
PA039,0,118,/home/htang6/workspace/data/abdomen/preprocessed/PA039_Spinal Cord.nrrd
150,85,210,/home/htang6/workspace/data/abdomen/preprocessed/150_Spinal Cord.nrrd
PA050,0,138,/home/htang6/workspace/data/abdomen/preprocessed/PA050_Spinal Cord.nrrd
139,85,208,/home/htang6/workspace/data/abdomen/preprocessed/139_Spinal Cord.nrrd
144,0,123,/home/htang6/workspace/data/abdomen/preprocessed/144_Spinal Cord.nrrd
PA003,0,136,/home/htang6/workspace/data/abdomen/preprocessed/PA003_Spinal Cord.nrrd
107,0,135,/home/htang6/workspace/data/abdomen/preprocessed/107_Spinal Cord.nrrd
118,96,187,/home/htang6/workspace/data/abdomen/preprocessed/118_Spinal Cord.nrrd
111,0,117,/home/htang6/workspace/data/abdomen/preprocessed/111_Spinal Cord.nrrd
149,86,209,/home/htang6/workspace/data/abdomen/preprocessed/149_Spinal Cord.nrrd
PA033,0,120,/home/htang6/workspace/data/abdomen/preprocessed/PA033_Spinal Cord.nrrd
099,0,116,/home/htang6/workspace/data/abdomen/preprocessed/099_Spinal Cord.nrrd
134,123,228,/home/htang6/workspace/data/abdomen/preprocessed/134_Spinal Cord.nrrd
094,0,119,/home/htang6/workspace/data/abdomen/preprocessed/094_Spinal Cord.nrrd
PA016,34,129,/home/htang6/workspace/data/abdomen/preprocessed/PA016_Spinal Cord.nrrd
