pid,z_start,z_end,path
138,51,84,/home/htang6/workspace/data/abdomen/preprocessed/138_Spleen.nrrd
001,130,164,/home/htang6/workspace/data/abdomen/preprocessed/001_Spleen.nrrd
PA039,61,84,/home/htang6/workspace/data/abdomen/preprocessed/PA039_Spleen.nrrd
PA053,67,96,/home/htang6/workspace/data/abdomen/preprocessed/PA053_Spleen.nrrd
PA057,53,80,/home/htang6/workspace/data/abdomen/preprocessed/PA057_Spleen.nrrd
147,57,100,/home/htang6/workspace/data/abdomen/preprocessed/147_Spleen.nrrd
004,40,74,/home/htang6/workspace/data/abdomen/preprocessed/004_Spleen.nrrd
048,150,190,/home/htang6/workspace/data/abdomen/preprocessed/048_Spleen.nrrd
038,49,79,/home/htang6/workspace/data/abdomen/preprocessed/038_Spleen.nrrd
009,147,179,/home/htang6/workspace/data/abdomen/preprocessed/009_Spleen.nrrd
022,39,73,/home/htang6/workspace/data/abdomen/preprocessed/022_Spleen.nrrd
124,59,94,/home/htang6/workspace/data/abdomen/preprocessed/124_Spleen.nrrd
036,140,184,/home/htang6/workspace/data/abdomen/preprocessed/036_Spleen.nrrd
105,145,176,/home/htang6/workspace/data/abdomen/preprocessed/105_Spleen.nrrd
PA036,130,159,/home/htang6/workspace/data/abdomen/preprocessed/PA036_Spleen.nrrd
014,194,227,/home/htang6/workspace/data/abdomen/preprocessed/014_Spleen.nrrd
026,128,162,/home/htang6/workspace/data/abdomen/preprocessed/026_Spleen.nrrd
123,54,85,/home/htang6/workspace/data/abdomen/preprocessed/123_Spleen.nrrd
113,114,150,/home/htang6/workspace/data/abdomen/preprocessed/113_Spleen.nrrd
PA023,37,89,/home/htang6/workspace/data/abdomen/preprocessed/PA023_Spleen.nrrd
107,59,79,/home/htang6/workspace/data/abdomen/preprocessed/107_Spleen.nrrd
031,132,180,/home/htang6/workspace/data/abdomen/preprocessed/031_Spleen.nrrd
089,152,183,/home/htang6/workspace/data/abdomen/preprocessed/089_Spleen.nrrd
146,37,58,/home/htang6/workspace/data/abdomen/preprocessed/146_Spleen.nrrd
PA056,71,107,/home/htang6/workspace/data/abdomen/preprocessed/PA056_Spleen.nrrd
103,49,86,/home/htang6/workspace/data/abdomen/preprocessed/103_Spleen.nrrd
110,135,164,/home/htang6/workspace/data/abdomen/preprocessed/110_Spleen.nrrd
PA009,109,149,/home/htang6/workspace/data/abdomen/preprocessed/PA009_Spleen.nrrd
034,158,189,/home/htang6/workspace/data/abdomen/preprocessed/034_Spleen.nrrd
148,115,165,/home/htang6/workspace/data/abdomen/preprocessed/148_Spleen.nrrd
051,101,134,/home/htang6/workspace/data/abdomen/preprocessed/051_Spleen.nrrd
PA040,83,104,/home/htang6/workspace/data/abdomen/preprocessed/PA040_Spleen.nrrd
PA046,65,89,/home/htang6/workspace/data/abdomen/preprocessed/PA046_Spleen.nrrd
013,73,107,/home/htang6/workspace/data/abdomen/preprocessed/013_Spleen.nrrd
PA043,56,96,/home/htang6/workspace/data/abdomen/preprocessed/PA043_Spleen.nrrd
150,144,180,/home/htang6/workspace/data/abdomen/preprocessed/150_Spleen.nrrd
PA003,45,94,/home/htang6/workspace/data/abdomen/preprocessed/PA003_Spleen.nrrd
PA037,145,186,/home/htang6/workspace/data/abdomen/preprocessed/PA037_Spleen.nrrd
135,141,176,/home/htang6/workspace/data/abdomen/preprocessed/135_Spleen.nrrd
054,126,166,/home/htang6/workspace/data/abdomen/preprocessed/054_Spleen.nrrd
108,139,170,/home/htang6/workspace/data/abdomen/preprocessed/108_Spleen.nrrd
PA029,46,81,/home/htang6/workspace/data/abdomen/preprocessed/PA029_Spleen.nrrd
PA019,90,126,/home/htang6/workspace/data/abdomen/preprocessed/PA019_Spleen.nrrd
PA026,36,66,/home/htang6/workspace/data/abdomen/preprocessed/PA026_Spleen.nrrd
002,149,185,/home/htang6/workspace/data/abdomen/preprocessed/002_Spleen.nrrd
PA025,29,84,/home/htang6/workspace/data/abdomen/preprocessed/PA025_Spleen.nrrd
132,168,200,/home/htang6/workspace/data/abdomen/preprocessed/132_Spleen.nrrd
044,56,83,/home/htang6/workspace/data/abdomen/preprocessed/044_Spleen.nrrd
140,153,192,/home/htang6/workspace/data/abdomen/preprocessed/140_Spleen.nrrd
PA010,45,89,/home/htang6/workspace/data/abdomen/preprocessed/PA010_Spleen.nrrd
143,155,193,/home/htang6/workspace/data/abdomen/preprocessed/143_Spleen.nrrd
006,102,138,/home/htang6/workspace/data/abdomen/preprocessed/006_Spleen.nrrd
PA020,93,142,/home/htang6/workspace/data/abdomen/preprocessed/PA020_Spleen.nrrd
139,142,173,/home/htang6/workspace/data/abdomen/preprocessed/139_Spleen.nrrd
PA006,69,101,/home/htang6/workspace/data/abdomen/preprocessed/PA006_Spleen.nrrd
062,34,62,/home/htang6/workspace/data/abdomen/preprocessed/062_Spleen.nrrd
091,69,105,/home/htang6/workspace/data/abdomen/preprocessed/091_Spleen.nrrd
119,52,85,/home/htang6/workspace/data/abdomen/preprocessed/119_Spleen.nrrd
047,142,182,/home/htang6/workspace/data/abdomen/preprocessed/047_Spleen.nrrd
PA044,76,116,/home/htang6/workspace/data/abdomen/preprocessed/PA044_Spleen.nrrd
017,63,101,/home/htang6/workspace/data/abdomen/preprocessed/017_Spleen.nrrd
059,131,160,/home/htang6/workspace/data/abdomen/preprocessed/059_Spleen.nrrd
027,131,174,/home/htang6/workspace/data/abdomen/preprocessed/027_Spleen.nrrd
128,127,175,/home/htang6/workspace/data/abdomen/preprocessed/128_Spleen.nrrd
122,98,136,/home/htang6/workspace/data/abdomen/preprocessed/122_Spleen.nrrd
PA032,53,77,/home/htang6/workspace/data/abdomen/preprocessed/PA032_Spleen.nrrd
041,155,193,/home/htang6/workspace/data/abdomen/preprocessed/041_Spleen.nrrd
029,46,83,/home/htang6/workspace/data/abdomen/preprocessed/029_Spleen.nrrd
097,56,83,/home/htang6/workspace/data/abdomen/preprocessed/097_Spleen.nrrd
018,56,94,/home/htang6/workspace/data/abdomen/preprocessed/018_Spleen.nrrd
PA030,50,97,/home/htang6/workspace/data/abdomen/preprocessed/PA030_Spleen.nrrd
085,163,203,/home/htang6/workspace/data/abdomen/preprocessed/085_Spleen.nrrd
PA054,72,104,/home/htang6/workspace/data/abdomen/preprocessed/PA054_Spleen.nrrd
144,42,82,/home/htang6/workspace/data/abdomen/preprocessed/144_Spleen.nrrd
PA018,30,75,/home/htang6/workspace/data/abdomen/preprocessed/PA018_Spleen.nrrd
PA052,37,83,/home/htang6/workspace/data/abdomen/preprocessed/PA052_Spleen.nrrd
129,140,170,/home/htang6/workspace/data/abdomen/preprocessed/129_Spleen.nrrd
PA016,77,113,/home/htang6/workspace/data/abdomen/preprocessed/PA016_Spleen.nrrd
PA042,30,70,/home/htang6/workspace/data/abdomen/preprocessed/PA042_Spleen.nrrd
084,41,80,/home/htang6/workspace/data/abdomen/preprocessed/084_Spleen.nrrd
115,51,85,/home/htang6/workspace/data/abdomen/preprocessed/115_Spleen.nrrd
065,152,187,/home/htang6/workspace/data/abdomen/preprocessed/065_Spleen.nrrd
046,141,172,/home/htang6/workspace/data/abdomen/preprocessed/046_Spleen.nrrd
095,159,195,/home/htang6/workspace/data/abdomen/preprocessed/095_Spleen.nrrd
090,88,115,/home/htang6/workspace/data/abdomen/preprocessed/090_Spleen.nrrd
111,36,71,/home/htang6/workspace/data/abdomen/preprocessed/111_Spleen.nrrd
