pid,z_start,z_end,path
145,92,112,/home/htang6/workspace/data/abdomen/preprocessed/145_Stomach.nrrd
122,89,135,/home/htang6/workspace/data/abdomen/preprocessed/122_Stomach.nrrd
051,89,129,/home/htang6/workspace/data/abdomen/preprocessed/051_Stomach.nrrd
093,63,87,/home/htang6/workspace/data/abdomen/preprocessed/093_Stomach.nrrd
PA027,47,85,/home/htang6/workspace/data/abdomen/preprocessed/PA027_Stomach.nrrd
100,88,129,/home/htang6/workspace/data/abdomen/preprocessed/100_Stomach.nrrd
042,65,101,/home/htang6/workspace/data/abdomen/preprocessed/042_Stomach.nrrd
PA017,56,82,/home/htang6/workspace/data/abdomen/preprocessed/PA017_Stomach.nrrd
031,146,187,/home/htang6/workspace/data/abdomen/preprocessed/031_Stomach.nrrd
149,155,189,/home/htang6/workspace/data/abdomen/preprocessed/149_Stomach.nrrd
017,69,101,/home/htang6/workspace/data/abdomen/preprocessed/017_Stomach.nrrd
098,35,67,/home/htang6/workspace/data/abdomen/preprocessed/098_Stomach.nrrd
004,38,72,/home/htang6/workspace/data/abdomen/preprocessed/004_Stomach.nrrd
119,50,85,/home/htang6/workspace/data/abdomen/preprocessed/119_Stomach.nrrd
054,142,169,/home/htang6/workspace/data/abdomen/preprocessed/054_Stomach.nrrd
PA039,43,69,/home/htang6/workspace/data/abdomen/preprocessed/PA039_Stomach.nrrd
106,138,177,/home/htang6/workspace/data/abdomen/preprocessed/106_Stomach.nrrd
046,138,177,/home/htang6/workspace/data/abdomen/preprocessed/046_Stomach.nrrd
132,162,200,/home/htang6/workspace/data/abdomen/preprocessed/132_Stomach.nrrd
103,39,78,/home/htang6/workspace/data/abdomen/preprocessed/103_Stomach.nrrd
027,131,165,/home/htang6/workspace/data/abdomen/preprocessed/027_Stomach.nrrd
085,155,197,/home/htang6/workspace/data/abdomen/preprocessed/085_Stomach.nrrd
117,171,200,/home/htang6/workspace/data/abdomen/preprocessed/117_Stomach.nrrd
061,80,118,/home/htang6/workspace/data/abdomen/preprocessed/061_Stomach.nrrd
025,37,79,/home/htang6/workspace/data/abdomen/preprocessed/025_Stomach.nrrd
PA016,66,124,/home/htang6/workspace/data/abdomen/preprocessed/PA016_Stomach.nrrd
028,33,71,/home/htang6/workspace/data/abdomen/preprocessed/028_Stomach.nrrd
010,43,74,/home/htang6/workspace/data/abdomen/preprocessed/010_Stomach.nrrd
142,72,101,/home/htang6/workspace/data/abdomen/preprocessed/142_Stomach.nrrd
030,58,80,/home/htang6/workspace/data/abdomen/preprocessed/030_Stomach.nrrd
045,221,264,/home/htang6/workspace/data/abdomen/preprocessed/045_Stomach.nrrd
036,146,183,/home/htang6/workspace/data/abdomen/preprocessed/036_Stomach.nrrd
PA006,67,97,/home/htang6/workspace/data/abdomen/preprocessed/PA006_Stomach.nrrd
048,160,188,/home/htang6/workspace/data/abdomen/preprocessed/048_Stomach.nrrd
105,144,176,/home/htang6/workspace/data/abdomen/preprocessed/105_Stomach.nrrd
065,146,188,/home/htang6/workspace/data/abdomen/preprocessed/065_Stomach.nrrd
128,151,175,/home/htang6/workspace/data/abdomen/preprocessed/128_Stomach.nrrd
037,131,161,/home/htang6/workspace/data/abdomen/preprocessed/037_Stomach.nrrd
PA029,38,80,/home/htang6/workspace/data/abdomen/preprocessed/PA029_Stomach.nrrd
108,148,172,/home/htang6/workspace/data/abdomen/preprocessed/108_Stomach.nrrd
088,143,186,/home/htang6/workspace/data/abdomen/preprocessed/088_Stomach.nrrd
PA021,43,74,/home/htang6/workspace/data/abdomen/preprocessed/PA021_Stomach.nrrd
PA030,59,98,/home/htang6/workspace/data/abdomen/preprocessed/PA030_Stomach.nrrd
055,139,184,/home/htang6/workspace/data/abdomen/preprocessed/055_Stomach.nrrd
PA035,263,281,/home/htang6/workspace/data/abdomen/preprocessed/PA035_Stomach.nrrd
127,147,188,/home/htang6/workspace/data/abdomen/preprocessed/127_Stomach.nrrd
136,122,182,/home/htang6/workspace/data/abdomen/preprocessed/136_Stomach.nrrd
102,34,78,/home/htang6/workspace/data/abdomen/preprocessed/102_Stomach.nrrd
041,155,192,/home/htang6/workspace/data/abdomen/preprocessed/041_Stomach.nrrd
101,157,204,/home/htang6/workspace/data/abdomen/preprocessed/101_Stomach.nrrd
PA008,14,41,/home/htang6/workspace/data/abdomen/preprocessed/PA008_Stomach.nrrd
116,141,173,/home/htang6/workspace/data/abdomen/preprocessed/116_Stomach.nrrd
130,161,189,/home/htang6/workspace/data/abdomen/preprocessed/130_Stomach.nrrd
PA040,77,106,/home/htang6/workspace/data/abdomen/preprocessed/PA040_Stomach.nrrd
084,41,137,/home/htang6/workspace/data/abdomen/preprocessed/084_Stomach.nrrd
144,35,76,/home/htang6/workspace/data/abdomen/preprocessed/144_Stomach.nrrd
062,20,65,/home/htang6/workspace/data/abdomen/preprocessed/062_Stomach.nrrd
PA010,39,82,/home/htang6/workspace/data/abdomen/preprocessed/PA010_Stomach.nrrd
096,66,103,/home/htang6/workspace/data/abdomen/preprocessed/096_Stomach.nrrd
021,156,196,/home/htang6/workspace/data/abdomen/preprocessed/021_Stomach.nrrd
PA004,100,137,/home/htang6/workspace/data/abdomen/preprocessed/PA004_Stomach.nrrd
026,110,159,/home/htang6/workspace/data/abdomen/preprocessed/026_Stomach.nrrd
129,149,176,/home/htang6/workspace/data/abdomen/preprocessed/129_Stomach.nrrd
PA037,156,189,/home/htang6/workspace/data/abdomen/preprocessed/PA037_Stomach.nrrd
087,55,102,/home/htang6/workspace/data/abdomen/preprocessed/087_Stomach.nrrd
052,151,182,/home/htang6/workspace/data/abdomen/preprocessed/052_Stomach.nrrd
PA036,134,162,/home/htang6/workspace/data/abdomen/preprocessed/PA036_Stomach.nrrd
044,42,79,/home/htang6/workspace/data/abdomen/preprocessed/044_Stomach.nrrd
092,152,200,/home/htang6/workspace/data/abdomen/preprocessed/092_Stomach.nrrd
140,158,191,/home/htang6/workspace/data/abdomen/preprocessed/140_Stomach.nrrd
PA003,64,96,/home/htang6/workspace/data/abdomen/preprocessed/PA003_Stomach.nrrd
020,180,204,/home/htang6/workspace/data/abdomen/preprocessed/020_Stomach.nrrd
110,139,175,/home/htang6/workspace/data/abdomen/preprocessed/110_Stomach.nrrd
PA043,38,90,/home/htang6/workspace/data/abdomen/preprocessed/PA043_Stomach.nrrd
PA045,149,168,/home/htang6/workspace/data/abdomen/preprocessed/PA045_Stomach.nrrd
150,164,184,/home/htang6/workspace/data/abdomen/preprocessed/150_Stomach.nrrd
PA033,30,51,/home/htang6/workspace/data/abdomen/preprocessed/PA033_Stomach.nrrd
125,55,101,/home/htang6/workspace/data/abdomen/preprocessed/125_Stomach.nrrd
137,63,90,/home/htang6/workspace/data/abdomen/preprocessed/137_Stomach.nrrd
133,50,90,/home/htang6/workspace/data/abdomen/preprocessed/133_Stomach.nrrd
PA042,18,64,/home/htang6/workspace/data/abdomen/preprocessed/PA042_Stomach.nrrd
113,106,144,/home/htang6/workspace/data/abdomen/preprocessed/113_Stomach.nrrd
PA013,66,85,/home/htang6/workspace/data/abdomen/preprocessed/PA013_Stomach.nrrd
PA018,34,77,/home/htang6/workspace/data/abdomen/preprocessed/PA018_Stomach.nrrd
060,152,179,/home/htang6/workspace/data/abdomen/preprocessed/060_Stomach.nrrd
099,50,116,/home/htang6/workspace/data/abdomen/preprocessed/099_Stomach.nrrd
139,137,174,/home/htang6/workspace/data/abdomen/preprocessed/139_Stomach.nrrd
123,58,79,/home/htang6/workspace/data/abdomen/preprocessed/123_Stomach.nrrd
PA050,45,81,/home/htang6/workspace/data/abdomen/preprocessed/PA050_Stomach.nrrd
053,62,85,/home/htang6/workspace/data/abdomen/preprocessed/053_Stomach.nrrd
PA002,83,125,/home/htang6/workspace/data/abdomen/preprocessed/PA002_Stomach.nrrd
PA022,98,115,/home/htang6/workspace/data/abdomen/preprocessed/PA022_Stomach.nrrd
148,119,161,/home/htang6/workspace/data/abdomen/preprocessed/148_Stomach.nrrd
059,139,174,/home/htang6/workspace/data/abdomen/preprocessed/059_Stomach.nrrd
PA023,53,80,/home/htang6/workspace/data/abdomen/preprocessed/PA023_Stomach.nrrd
126,142,168,/home/htang6/workspace/data/abdomen/preprocessed/126_Stomach.nrrd
012,37,112,/home/htang6/workspace/data/abdomen/preprocessed/012_Stomach.nrrd
PA049,78,123,/home/htang6/workspace/data/abdomen/preprocessed/PA049_Stomach.nrrd
006,112,139,/home/htang6/workspace/data/abdomen/preprocessed/006_Stomach.nrrd
PA005,39,110,/home/htang6/workspace/data/abdomen/preprocessed/PA005_Stomach.nrrd
PA026,26,68,/home/htang6/workspace/data/abdomen/preprocessed/PA026_Stomach.nrrd
PA051,76,106,/home/htang6/workspace/data/abdomen/preprocessed/PA051_Stomach.nrrd
PA020,92,140,/home/htang6/workspace/data/abdomen/preprocessed/PA020_Stomach.nrrd
